mayfly	chironomid	simulium	ephemeroptera	killifish	cyprinus	diptera	piscivorous	mosquitofish	phalacrocorax	odonata	herbivorous	insectivorous	chub	lepomis	orthoptera
assassination	assassin	liddy	bork	wieden	watergate	assassinated	reagan	mccainiac	assassin	petito	clintonian	motorcade	vietnam	zinn	newsman
quicken	dawning	unceasing	feverish	perceptibly	ceaselessly	inexorable	ceaseless	rapidity	slacken	unfoldment	imperceptibly	throb	springing	weariness	effulgence
mortgagee	chattel	mortgagor	mortgaged	assignee	seisin	copyhold	seis	executrix	bailment	revocable	testamentary	oblige	testator	debenture	heirship
furthering	pivotal	spearhead	assist	tireless	establish	role	supporter	shaping	played	inception	popular	spearhead	solidifying	music_education	succeed
finalize	finalisation	final	final	finalizer	implementation	close-out	reconvene	unimplemented	go-live	signoff	working_group	scope	intersession	expeditiously	expedite

balaclava	m-16	khaki	bullet-proof	humvee	machine-gun	jacket	don	lob	wearing	bulletproof	stormtrooper	dodging	bazooka	gunner	boche


ac_power	doorknob	servohydraulic	fuse	wrench	gown	linear_algebra	fasten	zasada	wristwatch	weigher	winch	pliers	fugu	lath	shunt
train_station	tramcar	stairhead	fade	paddington	marzena	phaeton	scullery	window-seat	showground	ottley	footman	buhid	funfair	loll	handcar
estop	joinder	demurrer	setoff	subrogation	interpleader	declaratory	laches	collaterally	summary_judgment	estoppel	prepetition	allege	out-of-court	plaintiff	oblige
mutex	runnable	threading	upcall	async	multithreaded	callback	multithreading	scheduler	kernel	threaded	interrupt	subprocess	atomically	semaphore	cpu
recollection	recalling	impress	remembering	remember	recollect	poll	remind	impression	previous	fact	amnesia	recount	emphatically	forgetting	lewinsky
memento	arrowhead	vase	hang	pillow	etch	bracelet	dress	sheepskin	carpet	rivet	bow	earring	screw	sweater	toothbrush
northern_alliance	campaign	counter-recruitment	postelection	iraqi	opposition	ayad	iraqi	disband	spearhead	leader	jalal	hasina
polonius	ophelia	offstage	macbeth	elizabethan	idyll	bucolic	potemkin	audaciously	egdon	phantasmagoria	poetically	picturesque	shakespearean	quaintly	topsy-turvy
self-sacrifice	self-denial	self-seeking	self-centeredness	self-abnegation	egoism	self-will	self-sacrificing	selfishness	baseness	self-abasement	perverseness	ignoble	resoluteness	prideful	self-mortification
wrestling	sumo	middleweight	athlete	boxing	welterweight	fencer	bodybuilding	all-american	undefeated	sprinter	sparring	judo	pugilist	muscled	pugilism

needlework	lacquer	beaded	applique	embroider	crochet	embroidery	crochet	beading	chiffon	quilted	beadwork	handcrafted	mache	embroidering	pewter

microsystem	enterprise_software	microsystem	x86	oracle	minicomputer	tivoli	mainframe	integrator	virtualisation
geochemistry	mineralogy	sedimentology	geochronology	petrological	mineralogical	petrography	petrologic	volcanology	geophysics	igneous	petrographic	stratigraphy	geochemical	geomorphology	conodont
biohazardous	biosafety	certifier	repa	investigational	countersign	underwriter	pre-approval	uncertificated	corixa	doripenem	biohazard	investee	recombinant	biohazard	auditable
share_price	share	market_share	stock	sharing	sell	gain	ipo	dividend	market	profit	investor	earn	repurchase	monet	buyback
fonte	giacomo	dell	sylvius	deg	cremona	castello	fontane	giuseppe	maria	orazio	torquato	procopius	emanuele	thermae	matai
synchronizing	synchronisation	synchronously	asynchronously	demultiplexer	reinitialize	correlator	synchronization	synchronize	interleaving	synchronized	multiplexer	timecode	initialisation	unsynchronized	preprocess
hooter	redneck	sellout	cowgirl	big-league	dished	lefty	cheesesteak	toe-to-toe	gaggle	preppy	wiseguy	hooter	scrappy	snooty	dimwit

attire	wearing	garb	hairstyle	dressed	trouser	baggy	low-cut	skirt	sartorial	turban	sleeveless	gown	yarmulke	blouse	skimpy

orator	eloquence	oratorical	oration	declamation	elocution	sonorous	solemnity	rhetorician	eloquent	extemporaneous	harangue	encomium	fervid	diction	enlivened
supreme	judge	appellate	district_court	federal_court	remand	judicially	precedential	supreme_court	state_court	overrule	ruled	dissent	constitutionality	judicial	overturn

armful	tramp	tepee	pikey	scullery	barefooted	heartsome	navvy	camp	innkeeper	bustled	breakfast	tramp	teepee	squat	four-wheeler

coachman	dining-room	gaily	bedchamber	wench	ladyship	knocker	alight	innkeeper	scullery	chanced	exclaiming	gloomily	grin	blush	comely
plasminogen	plasmin	thrombin	phosphorylated	guanosine	constitutively	fibrinogen	fibronectin	phorbol	metalloproteinase	proteolytic	overexpressed	angiogenic	triphosphate	adenosine	proteasome
francais	angers	cercle	francais	paraskevi	finnian	ang	sirat	yao	aventure	zagora	olympique	alexandru	antistes	lesia	danseuse


algebraic	theorem	calculus	cohomology	geometry	commutative	noncommutative	automorphic	homotopy	semisimple	abelian	trigonometric	matroid	holomorphic	trigonometry	algebra

hank	redskin	automat	briese	roundabout	favreau	sagari	carnitas
syrian	iran	saudi	arab	iranian	hafiz	hashemite	shi'ite	palestine	rejectionist	jordan	lebanese	sunni	shi'a	pro-american	kurdish
brahmana	shankara	acharya	purana	sutra	brahman	vedas	purana	tirthankara	ramanuja	gatha	upanishadic	yatha	yasht	veda	waiata
occur
compositae	fabaceae	portulaca	sambucus	achillea	asclepias	allium	parthenium	cucurbita	lactuca	officinal	nasturtium	purslane	apiaceae	polygonaceae	carica
court-martialed	desert	desertion	ignominiously	conscript	mutiny	mutinous	captor	turncoat	dishonorable	soldier	treachery	disgraced	ruffian	revolt	basely
mexican	zacatecas	sonora	puebla	oaxaca	chihuahua	colima	morelia	zapotec	borderland	sinaloa	saltillo	merida	venezuela	nuevo	aztec
registration	registered	deregister	unregister	reregister	shift_register	registrant	unregistered	reregistration	preregister	cash_register	register_allocation	preregistration	registrar	lir	listing

miscalculation	misstep	misjudgment	ineptitude	fiasco	debacle	incompetence	inexcusable	sloppiness	mendacity	bungling	mistake	stupidity	ill-advised	shortsightedness	baffling
lignite	anthracite	coal-fired	coal-burning	coking	coalfield	bituminous	miner	mine	coal_mine	mining	gasification	cannel	ore	colliery	desulfurization


parkway	tollway	expressway	two-lane	four-lane	overpass	thoroughfare	frontage	eastbound	thruway	northbound	southbound	westbound	beltline	skyway	townsite

foresail	gunwale	hawser	spritsail	topmast	bowsprit	furled	mainsheet	planking	jut	mainsail	reef	companionway	mizzen	windlass	decklid
euphemistic	pejorative	belittling	glibly	fatuous	crass	oxymoron	hackneyed	ridiculing	contemptuous	distasteful	hypocritical	moralizing	moronic	revolting	sanctimoniously
anticyclonic	cyclonic	poleward	midlatitude	equatorward	extratropical	baroclinic	gyre	thermocline	meridional	monsoonal	kuroshio	upwelling	advect	northeastward	southerly
baryon	noy	compton	deuteron	astrophysicist	redshift	smoot	omega	h-alpha	nucleosynthesis	nebular	beth	cmbr	dick	quasar	helium-4
zinc	ingot	molybdenum	smelter	smelting	wolman	manganese	antimony	tantalum	smelt	bismuth	niobium	metal	bauxite	cobalt	corroded
schooner	frigate	sail	flotilla	privateer	steamer	gunboat	skiff	rowed	barque	bowsprit	merchantman	cutlass	galleon	deckhand	warship
decant	manrico	treefish	pedate
togetherness	nearness	connectedness	feel	friendship	aloneness	loneliness	estrangement	companionship	affection	aloofness	sociability	warmth	intimate	peacefulness	poignancy
parsonage	vicarage	glebe	vicar	priory	vestry	churchyard	manse	parishioner	cloister	clergyman	curacy	archdeacon	curat	charterhouse	foresaid

galba	diocletian	tarquinius	gaius	consulship	otho	sulla	domitius	imperator	poppaea	pompeius	patricius	antoninus	flavius	romanus	goths
metabolomics	decodability	chunyu	dysplasia	ectinorhynchus	morphable	parameter	monodic	kinesthesia	nonsensitized	rhegmatogenous	tensors	calvarial	tttt
russian_avant-garde	duets
subcommittee	co-chair	chairperson	chair	deliber	chairmanship	chair	convene	deliber	reconvene	advisory	co-chair	recommend	meeting	committee_member	cochair
damned	awful	damn	fucking	shit	goddamned	fuck	asshole	fucked	pissed	handbasket	brimstone	horrible	hellish	screwing	nothing

boulevard	blvd	street	thoroughfare	beltline	downtown	frontage	promenade	eastbound	main_street	plaza	three-story	westbound	parkway	southbound	120th
austin	texan	dalla	panhandle	lubbock	paso	kansan	out-of-state	florida	kansas	alabama	state	peay	wildcatter	metroplex	statewide
shell_script	tcsh	netcat	terminal_emulation	untar	windows_shell	xlf	unix	xinetd
dark-eyed	spaniel	long-legged	longyi	snow-white	capybara	shaggy	mastiff	cocker	tawny	iguanodon	vixen	dryad	valenciennes	menagerie	topknot
isoform	kaiso	neurogenesis	symport	glycoprotein	immunofluorescently	plasmid	iodothyronine	uplink	intron	scarless	peptidergic

henlein	maximov	veljko	carinthia	dannecker	rakovsky	sarin	aryan	zosia	orlen	baki	uyezd	zahrava
meson	lepton	gluon	higgs	supersymmetric	baryon	nucleon	hadronic	electroweak	pion	kaon	fermion	antiparticle	fermionic	qcd	neutrino
gule	roundel	argent	gules	orle	fieldless	bordure	blazoned	escutcheon	purpure	counterchanged	annulet	quatrefoil	gyronny	ermine	transversely
roxbury	dorchester	mass.	plainfield	westfield	waterbury	bostonian	westport	massachusetts	attleboro	hillcrest	scarsdale	longwood	riverdale	taunton	newtown
childcare	child	day_care	daycare	nonparental	school-age	child_support	child_abuse	child_protection	noncustodial	care	child_labor	children	toddler	child_benefit	nonschool
leeuwen	walsum	zandt	wyk	susteren	doren	beek	dusen	damm	dongen	bruggen	winkle	veld	walle	klinken	fossen
conformism	anti-establishment	puritanical	anarchic	stultifying	nihilistic	intellectualism	anti-intellectual	unthinking	moralistic	conventionality	elitism	doctrinaire	hedonistic	narrow-minded	self-importance
peseta	rupiah	forint	dinar	ruble	franc	rouble	rupee	manat	baht	euros	zloty	devaluation	peso	ringgit	pegging
paint	curated	feininger	painter	water-colour	impressionist	muse	printmaker	atelier	watercolorist	post-impressionist	ceramist	print	masterpieces	natural_history	ornithologist

minnow	slimy	whack	tentacle	shiner	turd	sunfish	sucking	clawing	crappie	pickerel	calamary	bugger	suck	clawed	ravenous
tractarian	noy	unitarianism	schurman	milman	himmelfarb	regius	churchman	editorship	meiklejohn	controversialist	emerita	fisk	rawlinson	coeditor	widen
space_shuttle	liftoff	countdown	astronaut	space_station	soyuz	shuttle_bus	orbiter	spacewalk	spacesuit	undocking	bus	stop	lift-off	spacewalker	take-out
paresthesia	electrocardiogram	echocardiogram	anesthesiologist	palpitations	medical_specialty	rigor	peptic_ulcer	dermatologist	ultrasound	bong	wave_propagation	follow	dutch_elm	calisthenics	respiratory_therapy
bicyclic	alkyl	lactone	piperidine	aromatic	perfluorinated	amide	water-soluble	amine	halogenated	heterocyclic	aliphatic	benzaldehyde	toluene	chemically	ester

eton	plough	halfpenny	hampstead	enfield	ploughing	hoe	cotswold	hoe	hackney	vicarage	shropshire	ploughed	blackfriar	covent	tradesman
loch	courtyard	puritan	esker	hamlet	datasheet	shire	osteoblast	resect	ouled	potteries	rower	footpath	scandinavian	digital_signage

rainfed	agrobiodiversity	smallholder	multisectoral	sustainable_development	sectoral	sard	ebeid	stabilisation	peri-urban	diversification	subregion	stabilising	medium-term	sectorial	small-scale
bixa	passion_fruit	mamey	artocarpus	orang	pimenta	bergamot	hibiscus	citrusy	convolvulus	bird-of-paradise	frangipani	pistacia	santalum	tomatillo	besan
autocratic	authoritarianism	dictatorial	autocrat	despotic	tyranni	absolutism	despot	totalitarianism	oligarchic	totalitarian	oligarchy	leninist	dictatorship	authoritarian	diktat

fire_protection	fire_safety	emergency_service	fire_department	fire_prevention	firefighters	extinguish	fire_fighter	respond	firefighting	fire	forest_fire	fire_support	confined_space	rescuer	essential_service

station	union	metrolink	student_union	union_shop	union_member	service_station	train	eurostar	trolley	credit_union	labor_union	downtown	streetcar	stations	unionize
battlespace	deployable	warfighter	deployability	enabling	expandability	reachback	uav	survivable	survivability	air-to-air	deploy	transportable	operational	operability	taw
power_transmission	data_transmission	transmission_line	transmitted	transmission_system	transmitting	transmit	power_line	electricity	electric	tarif	high-voltage	intrastate	interconnection	scada	kbps

scyphozoa	hydrozoa	cnidarian	hydrozoan	hydroid	mollusca	echinodermata	medusa	arthropoda	scyphozoan	turbellaria	coelenterate	echinoderm	cephalopoda	platyhelminth	physalia
turbojet	scramjet	turbocharger	ramjet	nacelle	turboprop	aeroelastic	subsonic	turbocharged	hypersonic	air-cooled	supercharger	turbopump	supersonic	tiltrotor	aerodynamics


nubia	nabataean	nilotic	pharaonic	berber	negroid	bedouin	abydos	karnak	amun	pharaoh	pyramid	levantine	c-group	abyssinian	circassian
collider	linac	bevatron	cyclotron	web_accelerator	high-energy	antiproton	gev	fel	desi	superconducting	spallation	muon	hadron	synchrotron	injector
in-situ	passivation	isotherm	isobaric	ohmic	thermomechanical	neutronic	submicrometer	wurtzite	two-phase	nucleate	downscaling	hindcast	floorplan	counterflow	geopotential
second-generation	boomer	generation_x	decade	first-generation	forebear	baby_boomer	generational	electricity	matured	succeeding	electricity_generation	revolutionize	undreamed	gas_turbine	grown
senate	senate-house	white_house	mansion	majority_leader	portcullis	gavel	adjourn	cloakroom	frist	white	lodger	confer	110th	ceremoniously	commodious
sportfish	baitfish	sunfish	bream	menhaden	barramundi	catfish	bluegill	carp	yellowtail	bloater	redfish	crayfish	lepomis	flounder	flatfish
takeover	mercenary	buyout	piddling	divest	bankrupt	raiding	greedy	pocket	self-dealing	loot	appease	capitulation	disgruntled	outright	straddle

prebuilt	repurpose	wordprocess	multiplatform	dataplot	shrink-wrapped	reformat	preformatted	repurposing
bulkhead	rail	supercruise	s75	sailboat	thruster	photocontrol	medallion	scorecard	ox	earring
fabaceae	compositae	asteraceae	solanaceae	allium	leguminosae	solanum	officinal	euphorbiaceae	plantago	sambucus	chenopodiaceae	ranunculaceae	lactuca	annual	grewia
operate	operations	operational	shutdown	standby	operated	mwe	operator	operating	telic	command	switchover	high-voltage	dispatch	maintenance	resumption
isomerization	stereoregular	chromophore	flavoprotein	carbene	amide	photoactivation	allylic	unsubstituted	aniline	bonnard	luminescent	porphyrin	enol	trimer	pyrimidine
extratropical	east-southeast	baroclinic	east-northeast	meridional	poleward	cloudiness	anticyclone	cyclonic	convective	convectively	diabatic	easterly	advect	northeastward	insolation
market_study	neurohypophyseal	razmadze	antineuronal	stahlberg	smail
eyeliner	mascara	hairstyle	hairdo	wig	ponytail	sparkly	underarm	eyelash	deodorant	chiffon	miniskirt	blouse	earring	goatee	suede

ravin	hillside	ravine	hilltop	nob	craggy	wooded	overlooking	hilly	grassy	crag	incline	hillock	steep	vale	snow-capped


belarus	ukrainian	belarusian	moldovan	belarussian	russia	russian	bulgaria	bulgarian	latvian	lithuanian	romanian	oblast	moscow	kravchuk	pravda

optic	coaxial	fiber-optic	glass_fiber	waveguide	multimode	optical	fibre-optic	aramid	asbestiform	plant_fiber	nonwoven	shive	nylon	optics	muscle_fiber
grendel	altix	supercomputer	culler	t2000	odin	mythos	multiprocessing	arthurian	minotaur	virtualisation	metacomputing	x86	hpc	ibycus	hyper-threading
sweetened	cornmeal	stewed	sherbet	terrine	buttermilk	puree	custard	sun-dried	overcooked	cake	caramel	chewy	hominy	smokehouse	guanciale

state	sate	clerk	supreme	testerman	united	debar	patria	kairys	ginsburg	aftereffect	seira	voloshin	rabbi	unwhipped
glycerin	tablespoon	marinade	saucepan	teaspoon	moisten	thicken	moisten	tbsp	puree	broth	petrolatum	spoonful	glycerine	curd	blender
disposed	manner	encumber	dispose	conformable	prudence	deem	appertain	judgment	virtue	covetousness	proper	transferee	accordingly	imprudence	dispositional
putala


ecosoc	churchwide	national_assembly	secretary-general	council	security_council	general	bylaws	nations	secretary_general	united_nations	un	synod	synodical	subcommission	plebiscite
sonnet	dude	checkerbloom

inspect	inspecting	inspect	inspector	reinspection	reinspect	inspectional	inspectorate	unannounced	aphis	reinspect	inspector_general	opcw	audit	phytosanitary	out-of-service

astronautical	rocket	comet	space_exploration	scientific_research	astronautics	planet	space_technology	radiophysics	astrophysics	astronaut	mission	mohri	aeronomy	free-flying	space_mission
unicellular	protozoa	phyla	metazoan	free-living	single-celled	endosymbiotic	paramecium	endosymbiont	amoeba	protozoan	one-celled	tetrahymena	symbiont	cnidarian	philodina
payn	fossett	drink	england	person	king	found	lord	wite	merci	soon	black	arat	ottley	cloten	lack
paid	contingency_fee	kickback	attorney	emolument	half-pay	garnishment	serjeant	orthodontist	defalcation	adjuster	billable	detinue	peculium	oblige	defray
omeprazole	prilosec	prevacid	ranitidine	famotidine	zantac	nizatidine	cimetidine	prokinetic	rabeprazole	tagamet	pepcid	sucralfate	pantoprazole	amlodipine	triptan
circuit_court	resistor	breaker	capacitor	ohm	inverter	integrated_circuit	inductor	fet	amperage	voltage	supreme	inductance	rectifier	circuitry	low-voltage
penalize	incent	subsidization	penal	recoup	discourage	incentive	clawback	unaffordable	cost-shifting	recoup	burden	onerous	incurring	subsidize	exacerbating
sequel	esthonian	salvadoran	follow	maritime_patrol	fibroblast	decant	suspenders	mandoor	fete	coupler	baltics	enamel

zoology	botanist	dendrology	herbarium	plant_biology	botanical	systematist	entomology	taxonomist	mycologist	paleobotany	mycological	botanic	linnaean	linnean	hepaticae
doyen	edwardian	cockney	fifties	english	literati	eton	londoner	urbane	zola	maire	quintessentially	englishwoman	twenties	raconteur	trinidadian

indent	fill	pasted	delimiter	scribble	illegible	filling	fill-in	scrawl	indented	erase	comma	legible	newline	post-it	rectangle
hairdryer	coffeemaker	minibar	amenities	guestroom	jacuzzi	rollaway	dryer	armoire	king-size	frett	kitchenette	recliner	duvet	washable	washer
sftp	untar	unzip	uncompress	xinetd	autorun	dpkg	unzipping	filestore	gunzip
newspaperman	latimer	scurrilous	railroad	acerbic	pooter	biographer	reade	beadle	stripling	estimable	muckraker	brag	conspirator	insinuation	undeservedly

driveway	crosswalk	intersect	passageway	singular	shaft	sidewalk	condit	hydrant	spline	pole	meshes	triangles	walkway	drawers	helmet
ridesharing	air_transportation	carpool	public_transport	transit	paratransit	transportation_system	intermodal	mass_transit	vanpool	bicycling	commute	transportation_secretary	carpool	road_transport	commuting

edit	command_line	uncomment	actor	setuid	re-edit	sudo	runlevel	scripted	pre-production	lilo	i18n	recompile	bourne	dingbat	initialisation

stations	service_station	campus_radio	radio	coaling	gas_station	union_station	radio_station	base_station	weather_station	transmitter	power_station	satelit	buss	repeater	radio_signal
climate	climate_change	climatologist	alarmism	greenhouse	planet	alarmist	broecker	doomsday	air-cool	environmentalist	climate-changing	environmentalism	heinberg	global	skeptic
storm	landfall	hurricane	windstorm	squall	downburst	rainband	rainstorm	waterspout	thunderstorm	microburst	gust	tornado	nor'easter	typhoon	advect

timeslot	tas	bookable	midsemester	teaching_assistant	semester	oversubscribed	mainstage	proctor	ati	proctor	asl	classtime	g6	tryout	credit_hour
laura	lady	congresswoman	inaugural	inauguration	alumna	lady_beetle	national_library	honoree	erma	read	diva	clinton	co-host	president	gala
previewer	xdvi	plug-in	gzip	unzip	libpng	font	xine	xft	dpkg	uncompress	gunzip	fontconfig	unzipping
hypodermic	syringe	haystack	pricking	puncture	needlestick	cannula	needleless	puncturing	tweezer	catheter	tourniquet	curette	q-tip	resectoscope	toothpick
drivetrain	gearbox	turbocharged	v8	supercharger	sedan	automotive	nissan	heavy-duty	alternator	four-door	horsepower	hatchback	automaker	roadster	subcompact
deselect	submenu	checkbox	toggle	scrollable	deselect	dropdown	deselect	deselect	qualifier	renice	select	cataloger	bitmask	selectable	framebuffer

dental	dentistry	orthodontist	hygienist	optometrist	podiatrist	doctor	chiropractor	orthodontic	mouthguard	endodontic	osteopath	teeth	denture	physician	checkup
vindicated	vindicate	repudiated	repudiation	vehement	avowal	pronouncement	recantation	denunciation	equivocation	rejoinder	refutation	disavowed	avow	cavil	dismiss
banjo	mandolin	stringed	zither	harmonica	tambourine	xylophone	sitar	lute	bagpipe	flute	strum	fiddle	cymbal	flautist	vocalist
occur	moron
crosswise	straightening	tack	tack	flatten	edging	sand	bolting	lengthwise	gunwale	crease	trimming	straighten	backside	jib	backglass


instruct	library_instruction	teach	classroom	learning	teach	pedagogical	instruction_set	instruct	curriculum	precept	instruct	operand	lesson	vliw	language_teaching
tweaked	taut	lurching	tweak	unstuck	jiggling	wobbly	rubbery	cranked	groove	straighten	twisting	ratchet	synth	wobbling	whacked
biloxi	picayune	houma	superdome	tulan	baton	rouge	waveland	st._bernard	bayou	louisianan	wilma	cajun	mardi_gras	evacuee	bywater
office_suite	copier	electronic_mail	spreadsheet	typist	back_office	2000	valid
brother	daughter	grandmother	niece	mother	cousin	aunt	half-sister	sister-in-law	sisterhood	big_brother	father	granddaughter	eldest	great-grandmother	inconsolable
pawl	trunnion	hold-down	stiffener	drawbar	apertured	clevis	sheave	tensioned	mandrel	overpull	impeller	workpiece	kink	cylindrically	rearward

picloram	dicamba	herbicidal	phytotoxicity	benomyl	trifluralin	imidacloprid	dimethoate	thiram	carbaryl	pyriproxyfen	triclopyr	weedkiller	pigweed	diazinon	biopesticide
serjeant	ducal	lordship	chancery	justiciary	viscount	jointure	pair	polemarch	governor-general	lacquey	bedchamber	marquess	england	cardinal	paulet

crosswalk	bicyclist	roadway	sidewalk	traffic	vehicular	on-street	walkability	intersection	motorist	intersect	stoplight	signalization	freeway	signal	kerb
fade	faded	darkening	dimmed	receding	brightening	shimmer	flickering	flicker	shimmering	muted	dimming	wistful	glint	fleeting	afterglow
snow-capped	snowcap	snowfield	mountainous	rugged	snow-clad	hiker	crag	peak	timberline	gulch	molehill	hike	ridgeline	craggy	alpinist
icelandic	norwegian	scandinavian	stavanger	greenlandic	danish	fjord	netherlands	johannesson	tamper	finnish	aland	nordic	faro	einarsson	subarctic
tamworth	welsh	strathspey	ayrshire	showground	bagpipe	peterborough	guildhall	aberdeenshire	limerick	galway	dafydd	welshman	glamorgan	shropshire	barbican
chairmanship	subcommittee	ceo	chairwoman	majority_leader	chairperson	breeden	mr.	president	grassley	board_member	chief_executive	committee	chief	undersecretary	pleased

pterosaur	woodchuck	somali	comfort	ostrich	aboke	non-human	mosasaur	lentogenic	marmot	jackal	degener	gastropod	roundworm
erupt	tsunami	cataclysm	cataclysmic	haraldur	bolide	flood	extinct	volcanism	tambora	cataclysm	meteoritic	volcano	meteorite	eruptive	erupt
plaid	by-election	conservative_party	fianna	byelection	taoiseach	alun	blairite	paisley	stormont	cairngorm	eisteddfod	dail	seanad	welsh	all-party
jalal	yahya	mahmud	ayad	say	hame	najib	qadi	mufti	salah	agha	haji	madani	hame	hadi	mulla
quot	quot	quotation	quot	saying	paraphrase	say	hyperbole	disclaim	quotable	refer	remark	restate	misquote	disclaimer	fact
schoolmaster	headmistress	schoolteacher	eton	tutor	schoolboy	schoolmistress	apprenticed	headteacher	charterhouse	chauncy	grammar_school	home-school	school	supt	dede
altarpiece	florentine	baptistery	veronese	bas-relief	frescoed	polychrome	pieta	poussin	tuscan	palazzo	polyptych	iconographic	duomo	apse	dell

chromophore	exciton	metastable	isomer	intramolecular	excitation	vibrational	dimer	photoelectron	diatomic	hyperfine	photoexcited	unpaired	paramagnetic	proton	benzylic
arangi	trimaran	mainsheet	foresail	tram	woodrush	track-mounted	whaleboat	jamame	kolahun	forestay	inlet	torpedo	mandoor	sonar	clew
monocacy	feder	richmond	potomac	sudley	pulaski	annapolis	monongahela	union_army	heintzelman	fort	norfolk	virginian	arlington	greenbrier	shelbyville
dodecagon	hypsignathus	monobosom	cybergovernment	microtile	circumesophageal	retort	unichromosomal	aster	methylamphetamine	fontinalis	syllabify



rudder	fuselage	yaw	airspeed	gimbal	inboard	aerodynamic	yaw	rotor	underbody	impeller	airfoil	stabilizer	rearward	stator	airframe
self-indulgent	satirize	sardonic	frivolity	unabashed	garrulous	sentimentality	self-aggrandizing	navel-gazing	banality	sentimental	sycophantic	screed	bombastic	moralizing	romantic

lord	honourably	certain	henceforward	legate	assent	realm	beene	foresaid	one	warre	lawful	general	whereof	viscount	withal

secular	irreligious	anathema	heretical	anti-christian	secularize	moralism	calvinist	antinomian	theocratic	quasi-religious	obscurantist	gnostic	rationalistic	antireligious	pietistic
sashimi	risotto	filet	ravioli	carpaccio	buttery	calamari	tempura	appetizer	delectable	braised	gnocchi	broiled	crispy	vinaigrette	branzino
blinkx	dogpile	metasearch	write	thunderstone	search-engine	bookmarking	spider	customizable	portal	desktop_search

otherworldly	unearthly	unhallowed	ghostly	portent	lurk	fabled	nameless	ghoul	inscrutable	gloriously	enigmatic	conjuring	weirdly	portentous	crazed
rail	intermodal	shipper	railroad	carload	freight_train	railcar	shipping	airfreight	truckload	hauling	trans-siberian	staggers	demurrage	drayage	tramway
kerning	helvetica	opentype	sans-serif	italic	typeface	dingbat	glyph	serif	xft	monospace	diacritical	font	fontconfig	bitmapped	resize
fine_art	fine_arts	grained	coarse	fettle	fine	finer	violator	beaux	tuning	fine	overdue	tacky	fuss	well-made	rococo
mow	disk	tilled	mown	hoe	plowing	disk	ploughed	clod	goatgrass	leafless	ploughing	haying	scorched	threshing-floor	gnarled
mustelid	woodchuck	kestrel	apron	waiata	bolti	cointension	sauropod	sheepskin	cycad	bariaur	trillium	pigeon	calopogon	ostrich	courtyard
shrill	trumpeting	deafening	crescendo	cacophony	barrage	clamor	frenzy	full-throated	bluster	roar	frenzied	snarl	thunderous	thumping	bellowing
oklahoman	wichita	kansas	muskogee	kansan	dalla	jayhawk	metroplex	houstonian	ponca	austin	rolla	omaha	abilene	biloxi	colfax
minstrelsy	minstrel	vaudeville	burlesque	blaxploitation	honky	rockabilly	cross-dressing	light-skinned	darktown	onstage	ragtime	rock-and-roll	impersonator	cabaret	crooning

novelist	essayist	fiction	poet	nonfiction	autobiography	prose	prolific	literary	memoir	autobiographical	penned	biograph	storyteller	write	reader
assert	asserted	contradict	unpersuasive	contradicted	argument	asserting	contention	fact	rebut	flatly	refutation	categorically	contrary	falsity	syllogism
france	french-speaking	belgian	frenchman	paris	francais	parisian	lycee	sorbonne	francophone	flemish	quebec	english	french-canadian	german	muse
life-size	life-sized	costumed	maquette	cyclorama	menagerie	lifelike	bas-relief	sculpted	animatronic	re-creation	still-life	sculptural	statuary	stop-motion	elaborately
trunking	multiservice	telco	softswitch	equant	commercial-grade	router	bouskoura	telecom	multitenant
thyristor	y-shaped	battal	pawl	coaxial	corded	splitter	coupler	microgripper	mountable	pneumatically	attachable	actuating	plane-polarized	sprocket	hand-operated
cybil	herdsman	goatherd	sheepfold	shepherdess	cowherd	sheep	goat	hermas	lassie	silvius	bleat	cyclops	euphrosyne	swineherd	manger

hitting	knock	hardest	struck	slam	jump	smash	shot	inning	inched	forehand	bump	smashed	pop	fired	ball
theocratic	secular	religious	secularism	secularization	theocracy	fiqh	judeo-christian	religionist	religiously	secularist	religion	ulama	wahhabism	wahhabi	obscurantist
learn	dainties	trifles	thank	oft	herd	3y	benign	hearts	understand	kind	sovereign	hyposoter	substantial	world	vertu

isolationist	interventionism	expansionism	unilateralist	internationalism	unilateralism	adventurism	multilateralist	anti-communism	globalist	anti-americanism	exceptionalism	realpolitik	defeatism	imperialistic	irrelevance
slaveholder	manumission	jerold	ex-slave	manumit	latimer	esq	cornelius	feldman	beckwith	kirsch	freeborn	adler	farber	issac	horwitz

atomistic	discrete	inhomogeneous	qcd	superposition	macroscopic	phonon	perturbative	one-dimensional	isotropic	self-consistent	baryon	vibrational	unobservable	amorphous	lagrangian
progressivism	reformism	conservative	liberal	radical	conservatism	reformist	populism	reactionary	liberationist	centrist	populist	progressiveness	centrism	neoconservatism	broad-minded

pull-up	subconcept	desktastic	steamboat	russian_avant-garde
directorship	directorate	secondment	postholder	interministerial	co-ordinate	interdepartmental	secretariat	chair	appointee	open_learning	liaise	u21	senior_management	professorial	convenor

railcar	metrolink	tramway	underpass	viaduct	light_rail	rail	trainset	expressway	gartside	four-lane	semi-trailer	at-grade	tollway	skyway	eastbound
