mayfly	chironomid	simulium	ephemeroptera	diptera	killifish	cyprinus	phalacrocorax	mosquitofish	trematode	herbivorous	insectivorous	chub	sunfish	piscivorous	salvinia
quicken	ebbing	unceasing	perceptibly	slacken	dawning	weariness	ceaseless	inexorable	deadness	decrepitude	rapidity	ceaselessly	awakening	imperceptibly	imperceptible
feoffment	executrix	chattel	bailment	revocable	oblige	manumission	promissory	seis	appertain	testamentary	thereon	codicil	seisin	copyhold	annex
pivotal	furthering	role	solidifying	establish	credited	pioneering	forefront	coordinating	founding	assist	pioneer	popular	musicianship	spearhead	forerunner
finalize	finalizer	finalisation	final	final	implementation	close-out	expediting	approvable	expedite	deallocate	signoff	closeout	nonblocking	subprogram	transmittal

bullet-proof	bulletproof	lob	ammo	lob	machine-gun	humvee	m-16	anti-aircraft	balaclava	foxhole	bazooka	khaki	gung-ho	gunship	howitzer


ac_power	doorknob	servohydraulic	fuse	wrench	gown	linear_algebra	fasten	zasada	wristwatch	weigher	pliers	winch	fugu	lath	watercraft
tramcar	train_station	stairhead	paddington	fade	scullery	phaeton	window-seat	marzena	showground	footman	buhid	doun	ottley	swivel	fryer
joinder	interpleader	summary_judgment	demurrer	estop	collaterally	allege	estoppel	meritless	countersuit	litigant	setoff	preclusive	appelle	plaintiff	alleging
threading	semaphore	threaded	multithreaded	mutex	runnable	nonblocking	queue	prefork	arachne	threadsafe	crossposting	upcall	ravel	multithreading	woven
recollection	recalling	remembering	amnesia	memorize	memory	remember	amnesic	reading	recollect	read	mnemonic	forgetfulness	hypnotized	reread	jotting
arrowhead	vase	memento	etch	sheepskin	pillow	bracelet	hang	dress	rivet	screw	carpet	beaker	zurbrugg	earring	toothbrush
centre-right	centrist	faction	centre-left	opposition	factional	far-right	far-left	left-of-center	democratic	greens	oust	hard-line	left-wing	sunni	electorally
polonius	shakespearean	macbeth	ophelia	annwn	soliloquy	town	elizabethan	bretwalda	desdemona	shire	dorset	cressida	othello	argyll	townsfolk
self-sacrifice	self-denial	self-abnegation	self-sacrificing	self-seeking	egoism	self-centeredness	baseness	self-will	selfishness	self-abasement	resoluteness	self-gratification	ignoble	meanness	depravity
sumo	welterweight	feder	wrestling	champ	trash-talk	judo	middleweight	backhand	weightlifting	pugilist	bodybuilding	bodybuilder	cena	teammate	footballing

needlework	crochet	crochet	embroider	beaded	handcrafted	lacquer	embroidering	handmade	embroidery	applique	chiffon	cross-stitch	bedspread	crocheting	glittery

mainframe	minicomputer	microsystem	microsystem	xerox	hp	novel	computer_industry	supercomputer	lucent	altair	3com	computer_hardware	t2000
geochemistry	sedimentology	geochronology	mineralogy	petrological	petrography	geophysics	stratigraphy	volcanology	petrographic	mineralogical	geochemical	petrologic	biostratigraphy	paleoceanography	lithological
biohazardous	biosafety	biohazard	biohazard	recombinant	dosimetry	thermoluminescent	pharmacovigilance	xenotransplantation	animal_testing	overpack	bioagent	amersham	signatory	safety-related	icao
sharing	shared	share	esop	stock	shareholding	market_share	share_price	ownership	dividend	demutualization	unrealized	mutual	accretive	nonretirement	annual
fonte	giacomo	dell	cremona	falconieri	deg	emanuele	castello	torquato	maria	troy	saint	bassus	giuseppe	procopius	theophil
synchronizing	synchronously	synchronisation	asynchronously	synchronization	correlator	demultiplexer	synchronize	reinitialize	interleaving	synchronized	timecode	multiplexer	timestamp	timestamping	synchronism
hooter	redneck	toe-to-toe	scrappy	big-league	dished	sellout	snooty	wiseguy	cowgirl	hooter	chump	winger	sixer	dork	handicapper

frock	attire	dressed	garb	undress	finery	gown	attired	trouser	buttoning	nightgown	matron	cloth	scarf	gingham	shaven

orator	eloquence	oratorical	declamation	oration	elocution	eloquent	extemporaneous	declaim	extempore	panegyric	encomium	harangue	impassioned	pedantry	convivial
federal_court	district_court	judge	state_court	supreme	high_court	court_case	superior_court	court_order	constitutionality	litigant	retrial	ruled	judicial	federal_district	defend

armful	scullery	pikey	innkeeper	navvy	tramp	barefooted	tepee	heartsome	tramp	camp	squat	chambermaid	breakfast	jytte	dumpling

coachman	bedchamber	wench	ladyship	gaily	dining-room	blush	innkeeper	alight	chanced	exclaim	scullery	sulky	exclaiming	gloomily	settee
plasminogen	ligase	guanosine	plasmin	phosphorylated	phosphorylating	repressor	uridine	adenosine	inactivate	proteasome	acetyl	inducible	synthase	proteolytic	ceramide
francais	angers	finnian	cercle	paraskevi	francais	ang	sirat	yao	zagora	aventure	olympique	antistes	alexandru	pandita	severinus


algebraic	calculus	trigonometry	pre-algebra	precalculus	math	combinatorics	algebraically	diophantine	homological	cohomology	computability	mathematic	lie_group	mathematical	equivariant

hank	redskin	automat	briese	roundabout	favreau	sagari	gradability	redirect
iran	syrian	iranian	diplomatic	saudi	arab	libyan	mesopotamia	jordanian	russia	regime	tripoli	casus	diplomatically	kurd	levant
brahmana	shankara	acharya	sutra	brahman	vedas	purana	purana	tirthankara	ramanuja	yatha	upanishadic	prakrit	gatha	veda	pythagoreanism
occur
compositae	portulaca	achillea	fabaceae	parthenium	allium	sambucus	cucurbita	apiaceae	asclepias	nasturtium	purslane	officinal	euphorbiaceae	ranunculus	brassica
court-martialed	desert	desertion	mutiny	mutinous	turncoat	ignominiously	conscript	captor	dishonorable	disgraced	flog	treachery	traitor	perfidious	torturer
mexican	puebla	oaxaca	zacatecas	argentina	sinaloa	sonora	chihuahua	chile	brazil	nafta	peru	nuevo	central_american	free_trade	andean
registration	electronically	deregister	notification	postmark	preregistration	receive	reregister	sex_offender	preregister	post_card	registered	deer	enroll	homelink	on-line

misstep	bungling	mistake	fiasco	blunder	ineptitude	misjudgment	miscalculation	inept	debacle	disastrously	ill-advised	ill-considered	bungled	sloppiness	pettiness
lignite	anthracite	bituminous	sulphur	coking	miner	coalfield	bituminous_coal	colliery	gasification	slag	ore	smelting	coal_mine	bauxite	cannel


four-lane	expressway	tollway	northbound	southbound	frontage	westbound	thruway	two-lane	eastbound	monongahela	thoroughfare	milepost	townsite	parkway	stage-coach

foresail	hawser	gunwale	spritsail	bowsprit	topmast	mainsheet	furled	reef	planking	mainsail	companionway	mizzen	jut	windlass	clatter
euphemistic	pejorative	belittling	fatuous	crass	hackneyed	ridiculing	glibly	nonsensical	hypocritical	shamelessly	laughable	distasteful	tawdry	doublespeak	perversely
anticyclonic	poleward	cyclonic	midlatitude	equatorward	extratropical	thermocline	gyre	baroclinic	meridional	upwelling	kuroshio	monsoonal	northeastward	cloudiness	millibar
fisk	noy	upsilon	compton	bolin	geocoronal	rutherford	gamma	redshifted	outflowing	unitarian	wald	congregational	congregationalist	jurat	synchrocyclotron
nickel	cobalt	zinc	tin	copper_mine	gold	pyrite	manganese	antimony	ore	bismuth	silver-plated	chromium	coltan	metal	cupric
schooner	sail	frigate	privateer	steamer	barque	merchantman	brigantine	ketch	aground	rowed	flotilla	skiff	pinnace	sail	supercargo
decant	manrico	treefish
togetherness	nearness	connectedness	sociability	estrangement	separateness	affection	intimate	loneliness	companionship	friendship	cohesiveness	introverted	affectionate	warmth	engendering
parsonage	vicarage	vicar	vestry	cloister	parishioner	churchyard	priory	archdeacon	manse	clergyman	curat	curacy	cistercian	carmelite	footman

diocletian	galba	tarquinius	gaius	consulship	otho	poppaea	domitius	pompeius	flavius	patricius	theodosius	sulla	marcian	quaestor	ostrogothic
metabolomics	decodability	chunyu	dysplasia	ectinorhynchus	kinesthesia	parameter	nonsensitized	morphable	monodic	tensors	tttt
russian_avant-garde	duets
advisory	subcommittee	recommendation	chairperson	by-law	board	senate	bylaws	recommend	vice-principal	latta	working_group	non-voting	deliber	council	presidentially
damned	fucking	shit	fuck	damnation	damn	goddamn	piss	hey	handbasket	freaking	geez	asshole	shite	hellish	fucker

boulevard	parkway	street	thoroughfare	34th	fifth	stoplight	42nd	brownstone	blvd	ave	frontage	elmwood	uptown	fairmount	expressway
austin	dalla	lubbock	texan	brownsville	waco	southwestern	antonio	panhandle	ut	abilene	brazoria	paso
shell_script	tcsh	netcat	terminal_emulation	windows_shell	xinetd	unix	untar	login	batch_file
spaniel	dark-eyed	longyi	cocker	capybara	mastiff	snow-white	long-legged	shaggy	wombat	tawny	iguanodon	valenciennes	merman	jackdaw	nocturne
isoform	symport	glycoprotein	neurogenesis	kaiso	plasmid	uplink	immunofluorescently	iodothyronine	peptidergic	scarless	intron	apatopus

henlein	maximov	dannecker	veljko	carinthia	sarin	zosia	rakovsky	zahrava	aryan	baki	uyezd	orlen	streckenbach
supersymmetric	higgs	lepton	electroweak	fermion	supersymmetry	meson	hadron	gluon	kaon	baryon	fermionic	antiparticle	qcd	nucleon	pseudoscalar
gule	argent	gules	roundel	orle	bordure	counterchanged	quatrefoil	purpure	azure	fess	ermine	fieldless	issuant	gyronny	tuft
roxbury	dorchester	mass.	plainfield	westfield	ridgewood	waterbury	westport	newtown	massachusetts	taunton	longwood	tanglewood	riverdale	bostonian	attleboro
childcare	day_care	school-age	child	prekindergarten	preschool	daycare	head_start	nonparental	care	early_childhood	pre-kindergarten	foster_care	caseload	headstart	school-aged
wyk	doren	leeuwen	zandt	dusen	winkle	dongen	veld	susteren	damm	wieren	hoy	beek	auken	dyke	herk
puritanical	conformism	moralistic	egalitarianism	elitism	narrow-minded	anarchic	stultifying	anti-establishment	moralism	hedonistic	individualist	intellectualism	doctrinaire	nihilistic	authoritarianism
peseta	franc	forint	dinar	rouble	rupiah	rupee	peso	euros	zloty	devaluation	ringgit	manat	ruble	baht	kwacha
paint	water-colour	edit	painter	brittingham	print	curated	feininger	masterpieces	grenander	muse	printmaker	watercolorist	originals	ornithologist	old_master

minnow	bugger	razorback	suck	leech	bullhead	shiner	chub	slimy	chum	measly	mangle	suck	walley	sucking	mire
tractarian	churchman	cornel	emerita	noy	schurman	regius	unitarianism	valedictory	meiklejohn	milman	controversialist	coeditor	andreae	alist	oration
space_shuttle	orbiter	astronaut	shuttle_bus	space_station	space_flight	endeavour	flight	liftoff	spaceflight	bipod	suborbital	nasa	space	spacewalk	lander
paresthesia	electrocardiogram	echocardiogram	anesthesiologist	rigor	medical_specialty	palpitations	ultrasound	peptic_ulcer	bong	dermatologist	dutch_elm	wave_propagation	calisthenics	follow	respiratory_therapy
heterocyclic	stereochemistry	anilin	ascorbyl	antimetastatic	lactone	bromine	organosulfur	methide	diamine	polyphenolic	bioactive	fluorinated	hyperforin	benzofuran	benzaldehyde

eton	plough	ploughing	shropshire	coventry	worcestershire	hoe	cotswold	hampstead	hackney	cultivator	ploughman	aylesbury	schoolmaster	hoe	plow
loch	courtyard	puritan	esker	shire	hamlet	ouled	datasheet	resect	osteoblast	footpath	rower	potteries	digital_signage	downturn	scandinavian

agrobiodiversity	rainfed	multisectoral	smallholder	sectoral	sustainable_development	sard	stabilisation	medium-term	diversification	stabilising	subregion	peri-urban	ebeid	neap	infrastructural
bixa	passion_fruit	mamey	artocarpus	pimenta	orang	citrusy	hibiscus	bergamot	frangipani	convolvulus	bird-of-paradise	santalum	pistacia	pometia	chilli
autocratic	tyranni	authoritarianism	dictatorial	despotic	autocrat	absolutism	despot	oligarchic	oligarchy	statism	despotism	tyrannical	totalitarianism	anti-democratic	denationalization

fire_protection	fire_safety	fire_department	emergency_service	fire_prevention	fire_fighter	extinguish	firefighting	firefighters	respond	forest_fire	fire	fire_support	firefighter	fireline	technician

station	union	metrolink	student_union	service_station	union_member	credit_union	union_shop	train	labor_union	eurostar	taxicab	unionized	trolley	downtown	railway
warfighter	operational	deployable	sustainment	functionality	operationally	battlespace	survivable	task	deployability	capable	enable	operability	deploy	robust	enhanced
transmission_line	data_transmission	power_transmission	transmission_system	transmitting	half-duplex	multipath	transmit	modulation	qam	data_rate	power_line	transmitted	retransmission	point-to-point	interconnect

hydrozoa	scyphozoa	echinodermata	arthropoda	cnidarian	hydrozoan	hydroid	mollusca	turbellaria	scyphozoan	coelenterate	medusa	coelenterata	annelida	platyhelminthes	myriapod
turbojet	scramjet	ramjet	turbocharger	turboprop	nacelle	subsonic	aeroelastic	hypersonic	tiltrotor	supercharger	turbopump	spaceplane	air-cooled	turbocharged	two-seater


nubia	berber	pharaonic	thebes	assyrian	thracian	scythian	pharaoh	wadi	nabataean	egyptologist	amun	pyramid	abyssinia	rams	baobab
collider	linac	gev	antiproton	bevatron	hadron	cyclotron	particle_physics	web_accelerator	synchrotron	beamline	desi	brookhaven	cryomodule	pelletron	synchrotron_light
in-situ	ohmic	two-phase	neutronic	thermomechanical	isotherm	passivation	isobaric	submicrometer	heterojunction	multilayer	thermally	nucleate	hindcast	multiscale	granulometry
generational	future	boomer	millennial	generation_x	intergenerational	electricity_generation	power-hungry	emergence	legacy	rebirth	resurgence	harnessing	consumerism	perpetuation	gigawatt
senate	bill	110th	porch	passed	u.s._house	mansion	adjourn	republican	veto	farmhouse	outbuild	gentlewoman	lodger	vote	impeach
menhaden	mackerel	swordfish	fish	smolt	gillnet	salmon	flounder	rockfish	groundfish	overfished	tuna	bluefish	eel	flatfish	bluefin
takeover	mercenary	piddling	buyout	divest	raiding	bankrupt	greedy	pocket	loot	self-dealing	appease	capitulation	profiting	disgruntled	swindling

wordprocess	prebuilt	shrink-wrapped	dataplot	repurpose	multiplatform	prepress	toolset
bulkhead	supercruise	s75	rail	ox	thruster	photocontrol	sprinkler	medallion	earring	sailboat
compositae	fabaceae	solanaceae	asteraceae	allium	euphorbiaceae	solanum	annual	leguminosae	crucifer	officinal	ranunculaceae	chenopodiaceae	plantago	carica	grass
operational	operate	operated	refueling	maintenance	operations	operator	inoperative	inoperable	operating	operable	redeploy	resupply	deactivation	refuel	necessitate
flavoprotein	photoactivation	isomerization	chromophore	electrochemically	aniline	enol	allylic	phototropin	carbene	aldol	stereoregular	hydroxyl	afterimage	diene	phenanthroline
extratropical	east-southeast	baroclinic	east-northeast	meridional	poleward	cloudiness	anticyclone	cyclonic	convective	convectively	diabatic	easterly	advect	northeastward	0c
market_study	razmadze	neurohypophyseal	antineuronal	stahlberg	smail
mascara	eyeliner	hairdo	tacky	blonde	miniskirt	boob	deodorant	girly	underwear	sparkly	toothpaste	pyjama	shampoo	bouffant	sequined

ravin	ravine	hilly	steep	wooded	hillside	mountainside	grassy	mountain	moorland	vale	crag	valley	hilltop	marshy	northernmost


belarus	russia	ukrainian	belarussian	russian	moldovan	ukranian	transnistrian	armenia	primakov	kravchuk	ural	moscow	leonid	baltic	kremlin

glass_fiber	fabric	optical_fiber	terabit	optical	fiber-optic	optic	viscose	tensile	lyocell	electrospinning	compressive	coaxial	nonwoven	pultrusion	degradability
ibycus	multicomputer	supercomputer	teraflop	terascale	culler	altix	multiprocessor	computational	gigaflop	general-purpose	computer_architecture	parallelize	parallel	metacomputing	petascale
buttermilk	hominy	cornmeal	braised	roasting	savoury	guacamole	marin	sweetbread	tinned	chewy	stewed	sauerkraut	deep-fried	smokehouse	quesadilla

state	united	nations	congressionally	u.s.	u.s._government	usda	conterminous	commerce_department	drug_court	us_army	state	us_government	defense_department	ers	state_court
cornmeal	curd	glycerin	thickener	tablespoon	marinade	margarine	gell	applesauce	malted	pectin	tbsp	lecithin	powdered	freeze-dried	minced
disposed	continuance	proceeding	accordingly	thereto	therefor	proceed	therewith	testamentary	concurrence	conformable	deem	incumbrance	dispose	testator	except
putala	raster_graphics


churchwide	ecosoc	council	general	secretary-general	nations	security_council	secretary_general	synod	united_nations	national_assembly	synodical	bylaws	interparliamentary	un	by-law


inspect	reinspection	inspect	inspecting	inspector	inspectional	inspectorate	reinspect	reinspect	out-of-service	unannounced	inspector	shearography	spot-check	compliance	workover

astronautical	space_exploration	rocket	comet	astronautics	scientific_research	planet	radiophysics	astrophysics	mohri	astronaut	free-flying	space_technology	cosmodrome	mission	asteroids
unicellular	phyla	single-celled	endosymbiont	protozoa	free-living	cyanobacteria	metazoan	archaea	endosymbiotic	one-celled	cnidarian	eubacteria	tetrahymena	paramecium	methanogen
payn	fossett	drink	wite	england	person	king	lord	found	merci	black	soon	ottley	arat	cloten	stinkweed
contingency_fee	billable	alimony	paid	fee	half-pay	adjuster	detinue	deduct	paymaster	pretax	indigency	annuity	salaried	set-off	entitle
omeprazole	prilosec	prevacid	famotidine	ranitidine	cimetidine	nizatidine	zantac	rabeprazole	amlodipine	tagamet	sucralfate	pepcid	amiloride	pantoprazole	naproxen
circuit_court	printed_circuit	circuit_board	integrated_circuit	circuitry	closed_circuit	multichip	circuit_training	capacitor	breaker	circuit	amplifier	low-voltage	breadboard	inductor	wiring
incent	penalize	incentive	penal	discourage	outweigh	subsidization	discouraging	incentivize	onerous	burden	misallocation	inequitable	costly	detriment	incur
sequel	esthonian	salvadoran	follow	maritime_patrol	decant	fibroblast	suspenders	mandoor	coupler	fete	baltics

zoology	botanical	botanist	paleobotany	entomology	herbarium	mycology	taxonomist	linnaean	linnean	ichthyology	dendrology	ecophysiology	herpetology	horticulture	limnology
doyen	cockney	edwardian	eton	literati	londoner	maire	zola	english	urbane	englishwoman	admirer	raconteur	fifties	bohemian	famed

empty	fill-in	filled	preprint	fill	pasted	slate	filling	scribble	retype	blank	delimiter	box	comma	illegible	checkmark
hairdryer	coffeemaker	minibar	frett	turndown	dryer	dishwasher	pillowtop	duvet	bathrobe	bedspread	rollaway	guestroom	countertop	jacuzzi	washer
sftp	untar	unzip	xinetd	uncompress	dpkg	autorun	gzip	gunzip	unzipping
scurrilous	acerbic	pooter	brag	railroad	latimer	estimable	newspaperman	biographer	impeach	reade	beadle	stripling	sully	tooke	skewering

driveway	intersect	crosswalk	passageway	singular	spline	shaft	condit	sidewalk	pole	triangles	hydrant	meshes	walkway	drawers	brackets
transportation_system	intermodal	landside	intercity	paratransit	transit	freight	air_transportation	transportation_planning	mass_transit	transport	guideway	transport	ground_transportation	jarc	roadway

scripter	devanagari	scripted	gurmukhi	scripts	scriptwriter	awk	screenplay	logographic	retype	scriptable	grep	ispell	noweb	procmail	human-readable

gage	radio	radio_station	downlink	telemetered	campus_radio	rebroadcast	weather_station	repeater	transmitter	service_station	on-air	stations	uplink	broadcast	switchyard
climate	climatologist	climate_change	greenhouse	sea_level	carbon_dioxide	dioxide	chlorofluorocarbon	melting	alarmist	geoengineering	global	radiational	icecap	melt	hypothermia
hurricane	gust	landfall	gusty	thunderstorm	tropical_storm	rainstorm	squall	torrential	tornado	snowfall	wind	cyclone	northeastward	waterspout	storminess

teaching_assistant	tas	ta	classtime	ta	assistantship	audit	computer_game	graduate_student	assistantship	instructor	prelim	celta	proctor	courseload	fourth-year
laura	lady	congresswoman	president	read	speechwriter	education_secretary	lady_beetle	clinton	alumna	cortes	girl	businesswoman	corrin	spell	severson
previewer	xdvi	plug-in	gzip	unzip	libpng	xine	dpkg	font	xft	fontconfig	troff	uncompress	tarball	gunzip	bzip2
haystack	hypodermic	syringe	nape	needlestick	catheter	pricking	inject	rhizosphaera	puncture	veress	cannula	prick	darning	pithing	aspirate
drivetrain	gearbox	motor	power_train	supercharger	turbocharger	turbocharged	automotive	heavy-duty	v8	light-duty	alternator	carmaker	automaker	sedan	air-cooled
deselect	deselect	cataloger	bibliographer	e-resource	optionally	purchase_order	deselect	select	shelfmark	checkbox	unselect	circ	reclass	selection	monographic

dental	orthodontist	tooth	doctor	chairside	gynecologist	hygienist	chiropractor	hairdresser	novocaine	dentistry	podiatrist	flossing	internist	check-up	gyn
vindicated	repudiated	vindicate	avowed	impugn	disavowed	avowal	repudiate	denunciation	calumny	vehement	avow	stoutly	justness	sophistry	emphatically
mandolin	banjo	harmonica	xylophone	stringed	zither	bagpipe	tambourine	lute	oboe	strum	fiddle	bassoon	saxophone	harpist	violin
moron	occur
straightening	crosswise	tack	bolting	scrape	edging	sand	tack	crease	flatten	trimming	lengthwise	gunwale	piling	planking	lay-up


instruct	curriculum	classroom	library_instruction	eld	memorization	pedagogical	instruction_set	keyboard	teach	p-12	reteach	teacher	information_literacy	learner	child-centered
cranked	wobble	wobbling	taut	jiggle	groove	rubbery	jiggling	slinky	flaky	go-go	twisting	squish	crank	fuzz	wafer-thin
biloxi	superdome	picayune	tulan	louisianan	houma	cajun	baton	bourbon	gumbo	astrodome	evacuee	waveland	rouge	sazerac	rapid
office_suite	copier	spreadsheet	electronic_mail	back_office	valid	typist	2000
brother	mother	sister-in-law	cousin	daughter	niece	stepmother	aunt	mother-in-law	daughter-in-law	husband	half-sister	in-law	granddaughter	big_brother	fatherless
pawl	trunnion	hold-down	drawbar	stiffener	sheave	apertured	clevis	tensioned	overpull	mandrel	skeg	nosepiece	cybergovernment	kink	embedment

picloram	dicamba	herbicidal	benomyl	imidacloprid	phytotoxicity	dimethoate	trifluralin	spinosad	metolachlor	diazinon	thiram	triclopyr	nematicide	aldicarb	oxyfluorfen
serjeant	lordship	ducal	chancery	justiciary	viscount	pair	jointure	sceptre	marquess	lacquey	bedchamber	cardinal	polemarch	governor-general	realm

bicyclist	underpass	signal	intersect	vehicular	crosswalk	corridor	roadway	expressway	cyclist	overpass	beltline	signalization	congested	frontage	collis
fade	faded	dimmed	disappearing	darkened	darkening	flicker	imperceptibly	vanish	receding	flickering	gleam	dimming	glimmer	waning	drifting
mountainside	ravin	snow-covered	snow-capped	mountainous	hill	hilly	verdant	snowfield	valley	trackless	craggy	snow-clad	treeless	snowcap	switchback
icelandic	faro	scandinavian	norwegian	fjord	faroese	greenlandic	johannesson	nordic	malta	finn	chukotka	baltic	aland	shetland	subarctic
tamworth	welsh	limerick	ayrshire	peterborough	strathspey	guildhall	aberdeenshire	showground	bagpipe	shropshire	galway	dafydd	eton	glamorgan	gaelic
chairmanship	committee	chair	peyser	board_member	mr.	rudman	chair	executive	subcommittee	president	lugar	co-chair	bipartisan	blue-ribbon	ceo

woodchuck	pterosaur	comfort	non-human	ostrich	somali	aboke	mosasaur	lentogenic	jackal	marmot	gastropod	roundworm	degener
erupt	tsunami	cataclysm	haraldur	cataclysmic	bolide	flood	extinct	meteoritic	volcanism	meteorite	tambora	cataclysm	volcano	tectonics	meteor
plaid	by-election	conservative_party	alun	byelection	fianna	blairite	paisley	taoiseach	stormont	councillor	athol	keir	backbench	campaigner	ulster
hame	yahya	mahmud	jalal	haji	najib	say	agha	salah	madani	sharif	adel	mufti	ayad	hame	mujahedeen
quot	quot	quot	paraphrase	quotation	quotable	saying	out-of-context	plagiarize	refer	blurb	misquote	missive	aphorism	quip	jinx
headmistress	schoolteacher	headteacher	schoolmaster	eton	grammar_school	tutor	schoolboy	schoolmistress	school	home-school	charterhouse	governess	schoolday	apprenticed	gover
altarpiece	basilica	catacombs	frescoed	duomo	raphael	titian	florentine	pietro	piero	filippo	maggiore	predella	umbrian	statuary	giovanni

proton	dimer	metastable	intramolecular	chromophore	quinone	interconversion	isomerization	exciton	hyperfine	solvated	photoisomerization	steric	plastocyanin	cycloaddition	1h
arangi	trimaran	foresail	mainsheet	tram	woodrush	track-mounted	forestay	jamame	whaleboat	kolahun	mandoor	torpedo	launch_pad	sonar	access
monocacy	feder	richmond	shiloh	sudley	heintzelman	fort	greenbrier	cavalry	pulaski	arlington	monongahela	roane	cowpen	potomac
dodecagon	hypsignathus	monobosom	cybergovernment	aster	microtile	circumesophageal	unichromosomal	retort	methylamphetamine	syllabify	fontinalis



yaw	airspeed	yaw	rudder	aerodynamic	fuselage	airfoil	gimbal	rotor	rearward	impeller	stator	underbody	actuator	deflection	solenoid
self-indulgent	satirize	frivolity	sardonic	unabashed	garrulous	sentimentality	banality	self-aggrandizing	sentimental	navel-gazing	screed	bombastic	sycophantic	paean	sarcastic

marquess	shew	lord	baronet	ani	twelvemonth	ladyship	deputation	certain	counsell	scruple	favour	meane	pretence	legate	nobleman

secular	irreligious	anathema	anti-christian	heretical	moralism	calvinist	secularize	antinomian	theocratic	obscurantist	quasi-religious	secularism	rationalistic	puritanical	moralist
risotto	appetizer	delectable	filet	chutney	deep-fried	braised	crispy	vinaigrette	tangy	mignon	ravioli	gnocchi	tempura	bouillabaisse	fondue
dogpile	blinkx	search-engine	comparison-shop	metasearch	spider	customizable	sortable	single-click	thunderstone	write

nameless	ghostly	otherworldly	ghoul	unhallowed	hellish	unearthly	fabled	infernal	eerie	gloriously	weirdly	demigod	nightmarish	post-apocalyptic	smitten
shipper	intermodal	tonnage	passenger	railcar	rail	cargo	landside	shipping	transportation	trucking	tranship	container	airfreight	transpacific	lightering
helvetica	typeface	opentype	typeset	monospace	typesetting	serif	sans-serif	kerning	bodoni	italic	xft	formatting	font	aldus	pazo
fine	coarse	grained	fine_art	fine_arts	trifle	finer	fine	beautiful	finely	farthing	punishable	decently	shill	dainty	coarseness
tilled	ploughing	mown	disk	plowing	ploughed	haying	mow	plowed	disk	herbage	grazed	hoe	sward	hayfield	hillock
mustelid	woodchuck	kestrel	bolti	waiata	apron	sauropod	cointension	sheepskin	bariaur	trillium	pigeon	calopogon	ostrich	cycad	hydrologist
trumpeting	deafening	crescendo	shrill	cacophony	howl	frenzy	barrage	blaring	ratchet	flag-waving	thunderous	frenzied	ominously	blare	baying
oklahoman	wichita	muskogee	kansas	ponca	waco	lubbock	laramie	jayhawk	peay	lora	abilene	salina	springdale	dalla	austin
minstrel	minstrelsy	burlesque	cross-dressing	bawdy	transvestite	raunchy	blaxploitation	racy	mammy	darktown	parody	striptease	satirical	cross-dresser	satire

novelist	literary	write	essayist	write	readership	fiction	poet	fanzine	poetry	anthologist	dramatist	fandom	anthology	pseudonymously	book
assert	asserting	conclusory	contradicted	adduce	asserted	falsity	unpersuasive	refute	unproved	substantiate	self-contradictory	unequivocal	aver	implication	particularized
france	frenchman	francais	paris	parisian	french-speaking	bordeaux	francais	corsican	monsieur	belgian	marseille	italian	catalan	german	contre
life-size	life-sized	depicting	collaged	maquette	stereograph	re-creation	animatronic	stereopticon	lifelike	sculpted	sculptural	bas-relief	re-created	lithograph	curated
trunking	multiservice	telco	softswitch	equant	bouskoura	commercial-grade	router	telecom	multitenant
y-shaped	coupler	thyristor	splitter	coaxial	pawl	battal	corded	microgripper	pneumatically	sprocket	galvanometer	x10	plunger	actuating	driveshaft
sheep	cowherd	sheepfold	herdsman	shepherdess	flock	cybil	goatherd	black_sheep	goat	swineherd	low	faithful	oxen	graze	ewe

hitting	strikeout	backhand	whacked	at-bat	bat	pummel	smash	leadoff	forehand	knock	sixer	rebounding	racking	dud	bang
religious	secularism	secular	religion	theocracy	secularist	nonreligious	theocratic	secularity	religiosity	nonsectarian	religiously	protestantism	secularization	anti-christian	monotheistic
learn	thank	dainties	trifles	oft	3y	herd	benign	kind	hearts	understand	hyposoter	sovereign	indeed	substantial	vertu

isolationist	unilateralism	adventurism	interventionism	globalist	expansionist	internationalism	expansionism	wilsonian	multilateralist	unilateralist	imperialistic	realpolitik	anti-americanism	protectionism	insularity
jerold	steinberg	lasser	slaveholder	samuels	rosenthal	pollak	finkelstein	glasser	leora	jaffe	guttman	havelock	humphrey	weinberg	oren

discrete	discreteness	space-time	discontinuous	lorentzian	discontinuity	superposition	temporally	pointwise	laplacian	invariance	spatially	dyadic	multidimensional	inhomogeneous	overlap
centrist	champion	populist	democratic	conservatism	reactionary	liberalism	reformism	champion	socialist	left-wing	corporatism	progressivism	regressive	unionism	movement

pull-up	subconcept	desktastic	steamboat
directorship	secondment	directorate	postholder	interministerial	interdepartmental	co-ordinate	secretariat	chair	appointee	u21	liaise	open_learning	senior_management	vice-principal	extramural

railcar	metrolink	tramway	viaduct	underpass	light_rail	rail	guideway	expressway	gartside	skyway	trainset	intermodal	four-lane	haulage	trestle
tributary	dam	rivers	upriver	slough	downriver	fordable	creek	rivulet	gorge	riverbank	riverbed	southward	marshy	northwards	valley




bookshop	e-zine	faq	newsreader	wish_list	newsfeed	twopenny	subforum	e-journalism


